sex,diversity,legacy,SAT,GPA,extracurricular,TOEFL,AP,letterScore,subject,group,C_SAT,C_GPA,C_extracurricular,C_TOEFL,C_AP,C_letterScore,C_subject,admission
M,B,N,933.88,2.815,5,87.203,3,0.151,1,MBN0010000,0,0,1,0,0,0,0,Y
M,W,N,1251.094,2.233,2,102.141,1,0.836,3,MWN0001001,0,0,0,1,0,0,1,Y
M,A,Y,909.862,2.963,8,68.483,2,0.428,0,MAY0010000,0,0,1,0,0,0,0,N
M,B,N,1399.493,1.86,6,88.574,4,0.523,4,MBN0010001,0,0,1,0,0,0,1,Y
F,W,N,1266.135,2.742,3,56.71,6,0.506,2,FWN0000000,0,0,0,0,0,0,0,N
F,W,N,781.768,2.54,6,54.093,2,0.07,0,FWN0010000,0,0,1,0,0,0,0,N
M,O,Y,1173.884,2.141,2,58.523,6,0.415,4,MOY0000001,0,0,0,0,0,0,1,N
F,A,Y,757.698,3.374,8,69.335,5,0.629,3,FAY0110001,0,1,1,0,0,0,1,N
M,W,N,1070.81,2.456,9,80.027,1,0.152,4,MWN0010001,0,0,1,0,0,0,1,Y
M,A,N,985.873,3.381,6,72.289,24,0.154,1,MAN0110100,0,1,1,0,1,0,0,N
F,H,N,2206.333,2.286,6,128.086,4,0.157,4,FHN1011001,1,0,1,1,0,0,1,N
F,H,Y,1188.501,2.644,8,99.056,3,0.477,4,FHY0010001,0,0,1,0,0,0,1,N
F,B,Y,1368.605,2.565,0,95.767,2,1.0,2,FBY0000010,0,0,0,0,0,1,0,Y
F,B,N,1302.0,1.88,1,88.64,0,0.353,4,FBN0000001,0,0,0,0,0,0,1,N
M,W,N,1500.953,2.491,0,86.044,1,0.197,4,MWN0000001,0,0,0,0,0,0,1,Y
F,W,Y,1291.752,2.729,2,92.195,3,0.009,4,FWY0000001,0,0,0,0,0,0,1,N
M,O,N,1312.117,2.584,7,58.637,3,0.978,0,MON0010010,0,0,1,0,0,1,0,Y
F,W,N,1436.899,2.714,1,71.068,4,0.258,0,FWN0000000,0,0,0,0,0,0,0,Y
F,W,Y,1864.185,3.219,0,85.42,2,0.586,0,FWY0100000,0,1,0,0,0,0,0,N
F,O,N,941.487,3.066,1,80.801,1,0.061,2,FON0100000,0,1,0,0,0,0,0,N
M,O,Y,1003.486,2.172,8,51.337,0,0.697,2,MOY0010000,0,0,1,0,0,0,0,Y
F,I,Y,1268.837,2.431,1,65.167,6,0.067,4,FIY0000001,0,0,0,0,0,0,1,N
F,W,N,694.247,3.541,8,94.251,0,0.522,2,FWN0110000,0,1,1,0,0,0,0,Y
F,O,N,1457.35,2.89,9,55.685,6,0.58,0,FON0010000,0,0,1,0,0,0,0,Y
F,A,N,1218.622,2.508,2,70.699,0,0.708,2,FAN0000000,0,0,0,0,0,0,0,Y
F,A,N,1153.646,3.732,5,71.04,7,0.633,0,FAN0110000,0,1,1,0,0,0,0,N
M,I,N,1092.578,4.128,9,74.493,5,0.424,0,MIN0110000,0,1,1,0,0,0,0,Y
F,A,Y,1427.801,2.542,9,63.89,5,0.185,1,FAY0010000,0,0,1,0,0,0,0,N
F,W,N,1381.966,1.847,0,104.169,6,0.391,2,FWN0001000,0,0,0,1,0,0,0,Y
F,W,N,1038.964,2.245,1,96.105,8,0.462,2,FWN0000100,0,0,0,0,1,0,0,Y
M,A,N,848.113,1.708,2,70.483,9,0.004,1,MAN0000100,0,0,0,0,1,0,0,N
F,O,N,1482.625,2.817,0,58.843,4,0.239,2,FON0000000,0,0,0,0,0,0,0,N
M,H,Y,1108.532,2.054,2,99.799,9,0.156,2,MHY0000100,0,0,0,0,1,0,0,Y
F,W,N,1663.201,2.829,9,108.138,2,0.711,1,FWN0011000,0,0,1,1,0,0,0,N
M,A,N,1048.476,1.864,6,72.349,7,0.444,1,MAN0010000,0,0,1,0,0,0,0,Y
F,W,N,1219.776,1.931,4,144.936,8,0.067,4,FWN0001101,0,0,0,1,1,0,1,N
M,W,N,1672.295,2.088,2,55.003,0,0.509,1,MWN0000000,0,0,0,0,0,0,0,Y
M,A,Y,1520.342,2.656,2,69.805,1,0.992,1,MAY0000010,0,0,0,0,0,1,0,Y
M,W,N,1252.166,2.354,0,44.779,7,0.679,3,MWN0000001,0,0,0,0,0,0,1,N
F,W,N,1583.957,2.359,2,67.854,5,0.807,1,FWN0000000,0,0,0,0,0,0,0,Y
F,B,N,1271.491,2.243,1,92.454,4,0.468,0,FBN0000000,0,0,0,0,0,0,0,Y
F,O,N,850.735,2.952,2,62.788,5,0.256,1,FON0000000,0,0,0,0,0,0,0,Y
F,B,N,1572.633,3.22,2,93.531,1,0.213,0,FBN0100000,0,1,0,0,0,0,0,Y
F,B,Y,1008.201,1.866,0,80.842,0,0.593,0,FBY0000000,0,0,0,0,0,0,0,Y
F,W,Y,976.274,2.711,8,61.928,9,0.698,1,FWY0010100,0,0,1,0,1,0,0,Y
F,B,N,1692.93,3.224,0,81.509,1,0.942,4,FBN0100011,0,1,0,0,0,1,1,N
F,I,N,850.7,2.345,3,71.645,0,0.046,0,FIN0000000,0,0,0,0,0,0,0,N
M,W,Y,1901.345,1.25,5,71.716,4,0.311,0,MWY0010000,0,0,1,0,0,0,0,N
M,W,N,1113.027,2.252,6,107.814,3,0.932,1,MWN0011010,0,0,1,1,0,1,0,N
F,W,N,1374.307,1.885,1,71.187,5,0.505,4,FWN0000001,0,0,0,0,0,0,1,N
M,W,N,687.712,3.018,8,87.479,9,0.644,4,MWN0110101,0,1,1,0,1,0,1,N
F,B,N,890.917,3.316,0,96.073,1,0.693,3,FBN0100001,0,1,0,0,0,0,1,Y
M,A,N,1317.02,1.792,2,68.049,2,0.038,0,MAN0000000,0,0,0,0,0,0,0,Y
M,A,N,835.355,3.113,2,73.837,1,0.298,0,MAN0100000,0,1,0,0,0,0,0,N
F,H,N,884.152,2.092,3,102.935,4,0.672,4,FHN0001001,0,0,0,1,0,0,1,Y
M,H,N,663.44,2.892,0,105.721,0,0.572,4,MHN0001001,0,0,0,1,0,0,1,Y
F,O,N,1771.747,2.139,7,82.76,1,0.331,3,FON0010001,0,0,1,0,0,0,1,Y
M,B,N,893.499,1.778,1,90.663,3,0.616,3,MBN0000001,0,0,0,0,0,0,1,N
F,O,N,1316.043,2.89,2,72.374,6,0.969,3,FON0000011,0,0,0,0,0,1,1,N
F,B,N,1312.995,3.569,0,89.998,0,0.324,2,FBN0100000,0,1,0,0,0,0,0,Y
M,A,N,1813.751,2.714,6,74.451,1,0.399,2,MAN0010000,0,0,1,0,0,0,0,Y
F,H,Y,1261.528,3.182,9,94.177,6,0.271,3,FHY0110001,0,1,1,0,0,0,1,Y
M,W,Y,941.935,1.425,6,90.219,8,0.418,4,MWY0010101,0,0,1,0,1,0,1,N
F,B,N,1121.751,2.488,7,91.269,3,0.036,2,FBN0010000,0,0,1,0,0,0,0,Y
M,W,Y,770.339,2.096,9,101.173,29,0.423,1,MWY0011100,0,0,1,1,1,0,0,Y
F,O,N,809.814,3.618,9,60.76,6,0.747,2,FON0110000,0,1,1,0,0,0,0,Y
M,W,N,1522.322,2.62,8,96.265,3,0.435,1,MWN0010000,0,0,1,0,0,0,0,Y
M,W,N,1103.323,2.675,4,114.628,8,0.7,1,MWN0001100,0,0,0,1,1,0,0,N
F,A,N,1488.76,3.526,0,74.352,18,0.838,4,FAN0100101,0,1,0,0,1,0,1,Y
M,W,N,544.089,1.993,1,83.913,2,0.458,0,MWN0000000,0,0,0,0,0,0,0,Y
M,A,N,323.007,3.566,7,71.87,2,0.259,1,MAN0110000,0,1,1,0,0,0,0,Y
M,W,N,1034.761,3.22,9,88.686,37,0.332,1,MWN0110100,0,1,1,0,1,0,0,Y
F,W,N,1100.768,2.699,6,55.088,4,0.026,0,FWN0010000,0,0,1,0,0,0,0,N
M,B,N,1010.15,2.349,5,88.087,4,0.569,0,MBN0010000,0,0,1,0,0,0,0,Y
F,A,N,1131.607,2.005,5,68.603,8,0.894,0,FAN0010100,0,0,1,0,1,0,0,Y
M,W,N,811.803,1.869,1,72.007,1,0.066,1,MWN0000000,0,0,0,0,0,0,0,Y
M,W,N,1176.781,1.869,9,93.387,4,0.405,0,MWN0010000,0,0,1,0,0,0,0,Y
F,W,Y,1209.473,3.393,6,76.357,4,0.102,1,FWY0110000,0,1,1,0,0,0,0,Y
M,A,N,273.656,3.292,9,65.193,6,0.13,0,MAN0110000,0,1,1,0,0,0,0,Y
F,W,N,1027.766,2.447,7,106.836,1,0.99,2,FWN0011010,0,0,1,1,0,1,0,Y
M,H,N,107.765,2.57,1,88.43,5,0.554,0,MHN0000000,0,0,0,0,0,0,0,Y
M,W,N,1544.256,1.74,9,97.839,6,0.99,4,MWN0010011,0,0,1,0,0,1,1,Y
M,A,N,631.889,1.963,2,71.116,6,0.895,4,MAN0000001,0,0,0,0,0,0,1,Y
M,W,N,487.328,2.702,0,97.655,8,0.223,3,MWN0000101,0,0,0,0,1,0,1,Y
M,O,N,625.823,2.535,4,55.669,31,0.513,4,MON0000101,0,0,0,0,1,0,1,N
M,A,N,1076.503,2.104,1,68.876,0,0.923,4,MAN0000011,0,0,0,0,0,1,1,Y
M,O,Y,910.097,2.432,6,52.671,4,0.815,0,MOY0010000,0,0,1,0,0,0,0,Y
M,B,N,1196.263,2.629,2,92.081,6,0.263,2,MBN0000000,0,0,0,0,0,0,0,Y
F,A,N,1543.624,2.183,6,72.712,1,0.313,0,FAN0010000,0,0,1,0,0,0,0,N
M,O,N,1094.589,2.307,0,47.48,7,0.759,0,MON0000000,0,0,0,0,0,0,0,Y
F,H,Y,1228.93,3.4,3,103.811,1,0.331,2,FHY0101000,0,1,0,1,0,0,0,N
F,W,Y,1317.238,2.792,1,107.281,9,0.136,1,FWY0001100,0,0,0,1,1,0,0,Y
M,W,N,372.841,2.211,5,86.986,8,0.74,1,MWN0010100,0,0,1,0,1,0,0,N
F,A,N,1003.245,2.051,9,77.487,2,0.603,2,FAN0010000,0,0,1,0,0,0,0,N
M,I,N,906.063,2.618,2,90.378,2,0.632,0,MIN0000000,0,0,0,0,0,0,0,Y
F,I,N,1075.628,2.447,4,84.929,0,0.334,3,FIN0000001,0,0,0,0,0,0,1,N
F,B,N,718.622,2.426,0,80.148,11,0.867,3,FBN0000101,0,0,0,0,1,0,1,Y
F,O,N,857.09,1.735,6,57.272,3,0.559,3,FON0010001,0,0,1,0,0,0,1,N
M,W,N,663.243,2.853,0,86.626,7,0.718,0,MWN0000000,0,0,0,0,0,0,0,N
M,A,N,1172.265,2.158,2,72.568,7,0.067,1,MAN0000000,0,0,0,0,0,0,0,Y
M,O,Y,1077.645,2.464,7,58.062,8,0.414,2,MOY0010100,0,0,1,0,1,0,0,Y
M,O,N,751.265,2.476,4,41.011,2,0.512,3,MON0000001,0,0,0,0,0,0,1,Y
M,H,N,1098.148,4.046,1,83.833,1,0.88,0,MHN0100000,0,1,0,0,0,0,0,Y
F,B,N,1505.974,2.15,7,85.364,3,0.083,4,FBN0010001,0,0,1,0,0,0,1,N
M,H,N,1125.867,3.34,8,84.565,2,0.448,1,MHN0110000,0,1,1,0,0,0,0,Y
F,O,N,830.621,3.554,4,61.527,9,0.497,2,FON0100100,0,1,0,0,1,0,0,Y
F,B,N,1578.128,2.478,9,89.209,6,0.368,0,FBN0010000,0,0,1,0,0,0,0,Y
M,O,Y,959.165,3.383,3,63.332,5,0.764,4,MOY0100001,0,1,0,0,0,0,1,Y
M,W,Y,1289.438,2.612,6,79.788,25,0.035,2,MWY0010100,0,0,1,0,1,0,0,Y
M,H,N,752.004,2.287,9,104.89,4,0.465,0,MHN0011000,0,0,1,1,0,0,0,Y
F,A,N,1346.629,2.663,8,69.268,7,0.586,4,FAN0010001,0,0,1,0,0,0,1,N
M,W,N,1531.057,2.546,7,83.582,33,0.622,3,MWN0010101,0,0,1,0,1,0,1,Y
M,W,N,1217.437,1.441,6,82.295,25,0.878,3,MWN0010101,0,0,1,0,1,0,1,Y
M,B,N,1133.612,2.585,5,93.728,4,0.941,0,MBN0010010,0,0,1,0,0,1,0,N
F,W,N,930.791,2.54,5,56.137,5,0.213,2,FWN0010000,0,0,1,0,0,0,0,Y
M,B,N,1095.996,2.373,2,87.366,7,0.98,0,MBN0000010,0,0,0,0,0,1,0,Y
F,W,N,1216.191,2.706,8,74.601,29,0.77,4,FWN0010101,0,0,1,0,1,0,1,N
M,B,Y,756.805,2.715,3,92.372,3,0.232,0,MBY0000000,0,0,0,0,0,0,0,N
F,I,N,1221.998,1.932,1,63.312,1,0.193,3,FIN0000001,0,0,0,0,0,0,1,N
M,W,N,1004.006,2.542,7,91.188,7,0.356,2,MWN0010000,0,0,1,0,0,0,0,N
M,B,N,802.602,2.995,4,83.723,2,0.328,2,MBN0000000,0,0,0,0,0,0,0,N
M,W,N,885.548,2.544,7,102.993,4,0.455,4,MWN0011001,0,0,1,1,0,0,1,N
F,H,N,1606.217,3.265,8,108.623,4,0.318,0,FHN0111000,0,1,1,1,0,0,0,Y
F,W,N,799.587,2.966,9,99.196,6,0.499,1,FWN0010000,0,0,1,0,0,0,0,Y
M,B,N,1126.959,2.12,3,92.231,6,0.595,2,MBN0000000,0,0,0,0,0,0,0,N
F,A,Y,1102.929,2.134,9,67.496,0,0.489,4,FAY0010001,0,0,1,0,0,0,1,N
M,I,Y,1011.492,1.681,3,82.888,2,0.069,4,MIY0000001,0,0,0,0,0,0,1,Y
M,W,N,1069.255,2.767,9,59.928,5,0.085,0,MWN0010000,0,0,1,0,0,0,0,N
M,W,N,701.187,2.699,4,92.067,1,0.822,2,MWN0000000,0,0,0,0,0,0,0,Y
M,W,N,1027.981,2.807,0,85.427,8,0.087,3,MWN0000101,0,0,0,0,1,0,1,Y
F,O,N,1231.445,2.24,6,71.28,5,0.883,0,FON0010000,0,0,1,0,0,0,0,N
F,W,N,1013.981,2.088,8,85.637,2,0.639,1,FWN0010000,0,0,1,0,0,0,0,Y
M,W,N,1384.146,2.184,7,32.71,0,0.54,0,MWN0010000,0,0,1,0,0,0,0,Y
F,W,Y,1179.774,3.118,7,77.435,3,0.201,4,FWY0110001,0,1,1,0,0,0,1,N
M,O,N,1191.923,1.787,3,56.35,6,0.932,3,MON0000011,0,0,0,0,0,1,1,Y
F,B,N,1148.136,2.728,0,84.854,4,0.803,0,FBN0000000,0,0,0,0,0,0,0,Y
F,W,Y,1239.671,2.681,0,64.42,37,0.051,4,FWY0000101,0,0,0,0,1,0,1,N
F,O,N,1383.394,2.103,2,50.388,4,0.07,1,FON0000000,0,0,0,0,0,0,0,Y
M,H,N,584.014,2.336,1,99.476,2,0.814,2,MHN0000000,0,0,0,0,0,0,0,Y
F,A,N,1263.779,1.719,9,67.468,1,0.799,4,FAN0010001,0,0,1,0,0,0,1,N
F,H,N,1215.699,3.593,8,112.878,8,0.251,3,FHN0111101,0,1,1,1,1,0,1,N
M,W,N,897.929,1.592,1,57.181,3,0.208,0,MWN0000000,0,0,0,0,0,0,0,N
M,A,Y,923.907,1.961,7,68.53,22,0.653,0,MAY0010100,0,0,1,0,1,0,0,N
F,A,N,1598.677,2.512,2,65.024,5,0.407,4,FAN0000001,0,0,0,0,0,0,1,Y
F,W,N,1078.987,2.368,8,101.757,8,0.036,0,FWN0011100,0,0,1,1,1,0,0,Y
M,W,N,1180.537,2.284,6,128.75,9,0.877,1,MWN0011100,0,0,1,1,1,0,0,Y
M,W,N,753.149,2.414,7,79.271,4,0.41,4,MWN0010001,0,0,1,0,0,0,1,Y
F,O,N,975.803,2.898,8,75.879,4,0.251,3,FON0010001,0,0,1,0,0,0,1,N
M,W,N,555.052,2.294,7,49.385,36,0.229,4,MWN0010101,0,0,1,0,1,0,1,N
M,W,N,1090.734,3.071,9,117.413,8,0.706,1,MWN0111100,0,1,1,1,1,0,0,Y
M,O,Y,1045.095,2.771,2,47.589,1,0.172,3,MOY0000001,0,0,0,0,0,0,1,Y
M,W,N,811.682,1.182,8,35.896,5,0.803,1,MWN0010000,0,0,1,0,0,0,0,N
M,A,N,1142.205,1.397,7,61.068,8,0.154,2,MAN0010100,0,0,1,0,1,0,0,Y
F,O,N,1164.099,3.165,8,73.434,9,0.893,4,FON0110101,0,1,1,0,1,0,1,Y
F,I,N,1726.343,2.391,1,71.864,2,0.548,2,FIN0000000,0,0,0,0,0,0,0,Y
F,W,N,1170.777,4.793,8,95.382,1,0.176,4,FWN0110001,0,1,1,0,0,0,1,Y
F,B,N,1162.01,3.085,7,90.199,33,0.616,1,FBN0110100,0,1,1,0,1,0,0,N
M,W,Y,1284.636,1.79,5,109.01,0,0.966,1,MWY0011010,0,0,1,1,0,1,0,Y
M,O,Y,852.416,2.452,5,68.411,9,0.001,3,MOY0010101,0,0,1,0,1,0,1,Y
F,W,Y,738.222,2.978,8,36.473,0,0.398,4,FWY0010001,0,0,1,0,0,0,1,Y
F,A,N,1384.865,3.642,1,68.731,3,0.995,1,FAN0100010,0,1,0,0,0,1,0,N
F,W,N,1350.351,3.811,5,74.619,0,0.063,3,FWN0110001,0,1,1,0,0,0,1,Y
F,O,N,1473.057,1.867,1,50.37,4,0.212,3,FON0000001,0,0,0,0,0,0,1,N
F,O,N,1463.316,3.084,8,54.84,21,0.294,2,FON0110100,0,1,1,0,1,0,0,Y
F,B,N,1577.854,2.008,1,79.462,12,0.299,2,FBN0000100,0,0,0,0,1,0,0,N
M,W,Y,1120.545,2.658,2,73.464,1,0.244,1,MWY0000000,0,0,0,0,0,0,0,Y
F,B,Y,685.011,2.771,6,95.81,8,0.613,1,FBY0010100,0,0,1,0,1,0,0,Y
F,W,N,939.041,3.045,3,68.52,1,0.39,1,FWN0100000,0,1,0,0,0,0,0,N
F,W,N,1349.231,2.829,7,82.884,5,0.398,3,FWN0010001,0,0,1,0,0,0,1,Y
F,W,N,1195.661,2.408,6,68.114,0,0.057,1,FWN0010000,0,0,1,0,0,0,0,Y
M,W,N,470.553,2.477,5,80.644,26,0.004,2,MWN0010100,0,0,1,0,1,0,0,N
F,A,Y,1484.69,2.967,6,65.118,8,0.825,3,FAY0010101,0,0,1,0,1,0,1,Y
M,A,N,874.525,3.029,9,74.233,4,0.358,2,MAN0110000,0,1,1,0,0,0,0,N
M,W,Y,1148.259,2.491,5,36.447,0,0.138,3,MWY0010001,0,0,1,0,0,0,1,Y
M,O,N,663.585,2.384,3,61.043,2,0.607,1,MON0000000,0,0,0,0,0,0,0,Y
F,A,N,1271.837,2.724,2,62.044,8,0.361,3,FAN0000101,0,0,0,0,1,0,1,N
M,A,N,450.616,2.639,6,74.392,1,0.054,1,MAN0010000,0,0,1,0,0,0,0,N
F,O,N,769.361,1.128,9,59.969,2,0.912,4,FON0010011,0,0,1,0,0,1,1,Y
F,W,N,1476.505,2.222,2,90.078,0,0.618,2,FWN0000000,0,0,0,0,0,0,0,Y
M,W,N,743.655,1.747,1,105.603,2,0.51,3,MWN0001001,0,0,0,1,0,0,1,N
F,O,N,1526.28,2.267,4,80.825,37,0.323,1,FON0000100,0,0,0,0,1,0,0,Y
F,A,N,924.846,3.364,3,66.556,24,0.677,1,FAN0100100,0,1,0,0,1,0,0,N
M,W,Y,658.029,1.433,9,76.957,1,0.253,2,MWY0010000,0,0,1,0,0,0,0,N
M,O,N,1400.909,2.169,2,58.268,3,0.736,0,MON0000000,0,0,0,0,0,0,0,Y
M,B,N,1331.774,1.051,1,75.315,6,0.913,0,MBN0000010,0,0,0,0,0,1,0,N
M,H,N,1243.254,1.481,3,99.775,5,0.939,3,MHN0000011,0,0,0,0,0,1,1,Y
F,H,N,1265.178,3.798,4,89.448,8,0.126,3,FHN0100101,0,1,0,0,1,0,1,N
M,O,N,810.635,2.297,3,54.912,7,0.442,4,MON0000001,0,0,0,0,0,0,1,Y
F,W,N,1391.215,1.664,3,100.646,3,0.596,3,FWN0001001,0,0,0,1,0,0,1,N
M,W,N,1131.036,2.024,3,78.416,9,0.047,4,MWN0000101,0,0,0,0,1,0,1,N
M,A,N,753.691,3.947,6,75.122,3,0.985,1,MAN0110010,0,1,1,0,0,1,0,Y
F,I,N,989.589,2.237,8,80.336,3,0.548,4,FIN0010001,0,0,1,0,0,0,1,N
M,H,N,872.815,2.427,9,104.321,6,0.424,3,MHN0011001,0,0,1,1,0,0,1,Y
M,H,N,1170.326,2.699,4,100.016,7,0.526,0,MHN0001000,0,0,0,1,0,0,0,Y
F,W,N,1130.364,3.824,8,90.927,0,0.855,4,FWN0110001,0,1,1,0,0,0,1,N
F,O,N,1276.473,3.223,2,48.018,4,0.828,2,FON0100000,0,1,0,0,0,0,0,N
M,W,N,703.582,2.258,3,108.49,2,0.21,1,MWN0001000,0,0,0,1,0,0,0,N
F,W,Y,1553.937,2.53,5,98.813,29,0.793,1,FWY0010100,0,0,1,0,1,0,0,N
F,O,N,647.619,2.591,0,71.467,3,0.221,0,FON0000000,0,0,0,0,0,0,0,N
F,W,N,1611.167,3.23,0,73.262,4,0.518,0,FWN0100000,0,1,0,0,0,0,0,Y
F,A,N,1060.495,3.346,6,72.005,4,0.711,3,FAN0110001,0,1,1,0,0,0,1,Y
F,W,N,1992.414,2.643,9,92.279,5,0.318,2,FWN0010000,0,0,1,0,0,0,0,Y
F,A,Y,1052.068,2.52,4,81.077,1,0.821,3,FAY0000001,0,0,0,0,0,0,1,Y
M,B,N,1002.737,1.571,5,88.696,3,0.475,2,MBN0010000,0,0,1,0,0,0,0,Y
M,H,Y,1084.914,2.394,6,110.636,6,0.671,4,MHY0011001,0,0,1,1,0,0,1,Y
F,A,N,1307.864,2.305,0,72.106,1,0.105,1,FAN0000000,0,0,0,0,0,0,0,N
M,O,N,859.287,1.391,2,63.66,7,0.806,3,MON0000001,0,0,0,0,0,0,1,N
F,H,N,991.34,2.425,8,99.33,5,0.333,2,FHN0010000,0,0,1,0,0,0,0,N
M,W,N,675.448,3.079,3,95.829,3,0.952,2,MWN0100010,0,1,0,0,0,1,0,Y
F,B,N,824.061,2.855,7,92.973,7,0.107,2,FBN0010000,0,0,1,0,0,0,0,Y
M,A,N,539.368,1.907,3,68.82,2,0.469,4,MAN0000001,0,0,0,0,0,0,1,Y
F,A,N,1396.636,3.016,2,70.818,7,0.722,3,FAN0100001,0,1,0,0,0,0,1,Y
F,O,N,1563.917,3.179,7,63.114,2,0.108,4,FON0110001,0,1,1,0,0,0,1,N
F,A,N,1238.36,3.001,9,76.336,1,0.371,0,FAN0110000,0,1,1,0,0,0,0,Y
F,H,N,1518.425,2.342,0,100.189,6,0.327,2,FHN0001000,0,0,0,1,0,0,0,N
M,O,N,1024.174,2.855,1,48.711,1,0.959,1,MON0000010,0,0,0,0,0,1,0,Y
M,W,N,1059.635,2.39,5,85.132,7,0.519,1,MWN0010000,0,0,1,0,0,0,0,Y
M,W,N,1237.169,2.53,4,107.015,5,0.581,3,MWN0001001,0,0,0,1,0,0,1,Y
M,W,N,665.601,2.435,3,66.246,11,0.689,1,MWN0000100,0,0,0,0,1,0,0,N
F,W,N,970.048,2.904,9,87.502,9,0.444,2,FWN0010100,0,0,1,0,1,0,0,N
M,A,N,870.603,2.899,1,61.468,0,0.082,4,MAN0000001,0,0,0,0,0,0,1,N
M,W,N,1085.111,2.122,9,78.145,5,0.234,1,MWN0010000,0,0,1,0,0,0,0,N
M,A,N,1041.564,1.554,9,67.612,9,0.162,3,MAN0010101,0,0,1,0,1,0,1,Y
F,W,Y,1002.999,2.083,8,103.769,4,0.593,0,FWY0011000,0,0,1,1,0,0,0,N
F,O,N,974.242,3.099,0,36.128,2,0.851,4,FON0100001,0,1,0,0,0,0,1,Y
F,W,N,1099.437,2.013,7,72.744,9,0.058,0,FWN0010100,0,0,1,0,1,0,0,Y
F,W,N,1185.349,2.11,2,42.332,9,0.865,1,FWN0000100,0,0,0,0,1,0,0,Y
M,H,N,1188.245,1.199,8,99.545,1,0.867,1,MHN0010000,0,0,1,0,0,0,0,N
